str,en_US,ar_DZ
title,Hello,السلام
msg,Hello {} in the {} world ,السلام عليكم يا {} في عالم {}
msg_named,{} are written in the {lang} language,{} مكتوبة باللغة {lang}
clickMe,Click me,إضغط هنا
profile.reset_password.label,Reset Password,اعادة تعين كلمة السر
profile.reset_password.username,Username,المستخدم
profile.reset_password.password,password,كلمة السر
clicked.zero,You clicked {} times!,{} نقرة!
clicked.one,You clicked {} time!,{} نقرة!
clicked.two,You clicked {} times!,{} نقرات!
clicked.few,You clicked {} times!,{} نقرات!
clicked.many,You clicked {} times!,{} نقرة!
clicked.other,You clicked {} times!,{} نقرة!
amount.zero,Your amount : {} ,المبلغ : {}
amount.one,Your amount : {} , المبلغ : {}
amount.two,Your amount : {} , المبلغ : {}
amount.few,Your amount : {} , المبلغ : {}
amount.many,Your amount : {} , المبلغ : {}
amount.other,Your amount : {} , المبلغ : {}
gender.male,Hi man ;) , مرحبا يا رجل
gender.female,Hello girl :), مرحبا بك يا فتاة
gender.with_arg.male,Hi man ;) {},{} مرحبا يا رجل
gender.with_arg.female,Hello girl :) {},{} مرحبا بك يا فتاة
reset_locale,Reset Saved Language,إعادة تعيين اللغة المحفوظة
